1,M,28,3,12345
2,F,35,7,23456
3,M,42,2,34567
4,F,19,10,45678
5,M,31,1,56789
6,F,26,5,67890
7,M,37,12,78901
8,F,44,9,89012
9,M,50,4,90123
10,F,27,14,11223
11,M,33,6,22334
12,F,38,8,33445
13,M,29,11,44556
14,F,41,15,55667
15,M,24,3,66778
16,F,36,7,77889
17,M,45,2,88990
18,F,32,10,99001
19,M,39,1,10112
20,F,26,5,11234
21,M,31,12,12345
22,F,40,9,23456
23,M,28,14,34567
24,F,33,6,45678
25,M,47,8,56789
26,F,22,11,67890
27,M,54,15,78901
28,F,46,3,89012
29,M,61,7,90123
30,F,34,2,11223
31,M,29,10,22334
32,F,39,5,33445
33,M,30,12,44556
34,F,37,9,55667
35,M,42,14,66778
36,F,25,6,77889
37,M,48,8,88990
38,F,33,11,99001
39,M,36,15,10112
40,F,41,3,11234
41,M,27,7,12345
42,F,44,2,23456
43,M,35,10,34567
44,F,30,5,45678
45,M,50,12,56789
46,F,28,9,67890
47,M,40,14,78901
48,F,32,6,89012
49,M,37,8,90123
50,F,42,11,11223
